Timestamp,VA,W,VAR,PF,VLL,VLN,A,F,VA1,W1,VAR1,PF1,V12,V1,A1,VA2,W2,VAR2,PF2,V23,V2,A2,VA3,W3,VAR3,PF3,V31,V3,A3,FwdVAh,FwdWh,FwdVARh,FwdVARh,Present_demand,Max_MD,Max_DM_time,RevVAh,RevWh,RevVARh,RevVARh
1356548002,282.10925293,224.192398071,149.44229126,0.794700562954,1.00000004581e-18,253.722595215,0.370741486549,50.1633224487,228.559005737,182.740783691,128.773803711,0.799534380436,1.00000004581e-18,253.661682129,0.901038706303,53.5888290405,41.4516067505,20.6684875488,0.773512125015,1.00000004581e-18,253.752197266,0.211185663939,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,253.753921509,6.00001082144e-18,717690.5625,683207.5625,66052.0625,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356548003,282.068756104,224.123733521,149.419891357,0.794571280479,1.00000004581e-18,253.722412109,0.370687127113,50.1672439575,228.561065674,182.702224731,128.758682251,0.799358487129,1.00000004581e-18,253.661911011,0.901046037674,53.5455131531,41.4215164185,20.6612033844,0.773575901985,1.00000004581e-18,253.751663208,0.211015403271,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,253.753646851,6.00001082144e-18,717690.625,683207.625,66052.1015625,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356548003,282.068756104,224.123733521,149.419891357,0.794571280479,1.00000004581e-18,253.722412109,0.370687127113,50.1672439575,228.561065674,182.702224731,128.758682251,0.799358487129,1.00000004581e-18,253.661911011,0.901046037674,53.5455131531,41.4215164185,20.6612033844,0.773575901985,1.00000004581e-18,253.751663208,0.211015403271,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,253.753646851,6.00001082144e-18,717690.625,683207.625,66052.1015625,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356548004,282.196594238,224.100479126,149.518127441,0.794128894806,1.00000004581e-18,253.723312378,0.370852351189,50.1674308777,228.633071899,182.648406982,128.836090088,0.798871278763,1.00000004581e-18,253.663253784,0.901325166225,53.6005401611,41.4520645142,20.6820373535,0.773351669312,1.00000004581e-18,253.752151489,0.211231857538,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,253.754547119,6.00001082144e-18,717690.6875,683207.6875,66052.140625,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356548004,282.196594238,224.100479126,149.518127441,0.794128894806,1.00000004581e-18,253.723312378,0.370852351189,50.1674308777,228.633071899,182.648406982,128.836090088,0.798871278763,1.00000004581e-18,253.663253784,0.901325166225,53.6005401611,41.4520645142,20.6820373535,0.773351669312,1.00000004581e-18,253.752151489,0.211231857538,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,253.754547119,6.00001082144e-18,717690.6875,683207.6875,66052.140625,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356548005,282.17288208,224.035171509,149.502075195,0.793964207172,1.00000004581e-18,253.724838257,0.370815217495,50.166179657,228.636962891,182.598510742,128.832092285,0.798639535904,1.00000004581e-18,253.666687012,0.901328325272,53.5718955994,41.4366493225,20.6699867249,0.773477375507,1.00000004581e-18,253.754180908,0.21111728251,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,253.753616333,6.00001082144e-18,717690.75,683207.75,66052.1875,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356548005,282.17288208,224.035171509,149.502075195,0.793964207172,1.00000004581e-18,253.724838257,0.370815217495,50.166179657,228.636962891,182.598510742,128.832092285,0.798639535904,1.00000004581e-18,253.666687012,0.901328325272,53.5718955994,41.4366493225,20.6699867249,0.773477375507,1.00000004581e-18,253.754180908,0.21111728251,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,253.753616333,6.00001082144e-18,717690.75,683207.75,66052.1875,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356548006,282.093933105,223.939117432,149.46534729,0.793845891953,1.00000004581e-18,253.726669312,0.370707511902,50.165019989,228.58404541,182.51965332,128.790466309,0.798479437828,1.00000004581e-18,253.668670654,0.901112675667,53.5451850891,41.4194450378,20.6748733521,0.773541927338,1.00000004581e-18,253.756774902,0.211009860039,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,253.75453186,6.00001082144e-18,717690.875,683207.8125,66052.2265625,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356548006,282.093933105,223.939117432,149.46534729,0.793845891953,1.00000004581e-18,253.726669312,0.370707511902,50.165019989,228.58404541,182.51965332,128.790466309,0.798479437828,1.00000004581e-18,253.668670654,0.901112675667,53.5451850891,41.4194450378,20.6748733521,0.773541927338,1.00000004581e-18,253.756774902,0.211009860039,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,253.75453186,6.00001082144e-18,717690.875,683207.8125,66052.2265625,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356548007,282.212127686,223.934310913,149.556427002,0.793496370316,1.00000004581e-18,253.727554321,0.37086379528,50.1685523987,228.691009521,182.522689819,128.891296387,0.79811924696,1.00000004581e-18,253.667938232,0.901536881924,53.5562744141,41.4116287231,20.6651325226,0.773235797882,1.00000004581e-18,253.755752563,0.211054429412,0.0,0.0,6.00001082144e-18,1.00000004581e-18,1.00000004581e-18,253.758956909,6.00001082144e-18,717690.9375,683207.875,66052.265625,-14291.0039062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
